route,grade,grade_band,discipline,grade_system,area,wall,source,latitude,longitude,row_key,notion_page_id,status,coord_source
4einhalb,6b+,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | 4einhalb,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Immer auf die Kleinen,7-,5-7,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Immer auf die Kleinen,,to create,OSM cliff: Hirschwände (way 115602397)
Geistesblitz,7+,5-7,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Geistesblitz,,to create,OSM cliff: Hirschwände (way 115602397)
Calimero,8+,8-11,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Calimero,,to create,OSM cliff: Hirschwände (way 115602397)
Hirschen und Pirschen,8+,8-11,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Hirschen und Pirschen,,to create,OSM cliff: Hirschwände (way 115602397)
Ein Pfund Rauch,8,8-11,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Ein Pfund Rauch,,to create,OSM cliff: Hirschwände (way 115602397)
Hochzeitsnacht,8-,8-11,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Hochzeitsnacht,,to create,OSM cliff: Hirschwände (way 115602397)
Baba Rodellar,8+/9-,8-11,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Baba Rodellar,,to create,OSM cliff: Hirschwände (way 115602397)
Phobiker der Schwerkraft,9-,8-11,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Phobiker der Schwerkraft,,to create,OSM cliff: Hirschwände (way 115602397)
Steirische Weinstrasse,7+/8-,5-7,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Steirische Weinstrasse,,to create,OSM cliff: Hirschwände (way 115602397)
Das schwarze Reh,6+/7-,5-7,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Das schwarze Reh,,to create,OSM cliff: Hirschwände (way 115602397)
Geisterbahn,7+/8-,5-7,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Geisterbahn,,to create,OSM cliff: Hirschwände (way 115602397)
Hirschhänd,8+/9-,8-11,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Hirschhänd,,to create,OSM cliff: Hirschwände (way 115602397)
Aussteiger,8-,8-11,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Aussteiger,,to create,OSM cliff: Hirschwände (way 115602397)
Stotina Godine,5+,5-7,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Stotina Godine,,to create,OSM cliff: Hirschwände (way 115602397)
Trommelfell,6+,5-7,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Trommelfell,,to create,OSM cliff: Hirschwände (way 115602397)
Bushsnake,7+,5-7,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Bushsnake,,to create,OSM cliff: Hirschwände (way 115602397)
Transkei,7+,5-7,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Transkei,,to create,OSM cliff: Hirschwände (way 115602397)
Draken Direkt,8-,8-11,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Draken Direkt,,to create,OSM cliff: Hirschwände (way 115602397)
Drakenstour,7,5-7,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Drakenstour,,to create,OSM cliff: Hirschwände (way 115602397)
Soweto,6+,5-7,sport,UIAA,Hirschwände,Sektor 1 - Calimero Wall,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 1 - Calimero Wall | Soweto,,to create,OSM cliff: Hirschwände (way 115602397)
Friss oder Stirb,7,5-7,sport,UIAA,Hirschwände,Sektor 2 - Messer,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 2 - Messer | Friss oder Stirb,,to create,OSM cliff: Hirschwände (way 115602397)
Hour of Power,7,5-7,sport,UIAA,Hirschwände,Sektor 2 - Messer,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 2 - Messer | Hour of Power,,to create,OSM cliff: Hirschwände (way 115602397)
Herr der Ringe,6+,5-7,sport,UIAA,Hirschwände,Sektor 2 - Messer,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 2 - Messer | Herr der Ringe,,to create,OSM cliff: Hirschwände (way 115602397)
Namenlos (Messer a),8,8-11,sport,UIAA,Hirschwände,Sektor 2 - Messer,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 2 - Messer | Namenlos (Messer a),,to create,OSM cliff: Hirschwände (way 115602397)
Namenlos (Messer b),7,5-7,sport,UIAA,Hirschwände,Sektor 2 - Messer,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 2 - Messer | Namenlos (Messer b),,to create,OSM cliff: Hirschwände (way 115602397)
Leatherman Tool,7+,5-7,sport,UIAA,Hirschwände,Sektor 2 - Messer,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 2 - Messer | Leatherman Tool,,to create,OSM cliff: Hirschwände (way 115602397)
Etwas Stumpf,7+,5-7,sport,UIAA,Hirschwände,Sektor 2 - Messer,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 2 - Messer | Etwas Stumpf,,to create,OSM cliff: Hirschwände (way 115602397)
Centerfold,7,5-7,sport,UIAA,Hirschwände,Sektor 2 - Messer,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 2 - Messer | Centerfold,,to create,OSM cliff: Hirschwände (way 115602397)
Dopingtest,7-,5-7,sport,UIAA,Hirschwände,Sektor 3 - Gamshöhlen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 3 - Gamshöhlen | Dopingtest,,to create,OSM cliff: Hirschwände (way 115602397)
Masterpiece,7,5-7,sport,UIAA,Hirschwände,Sektor 3 - Gamshöhlen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 3 - Gamshöhlen | Masterpiece,,to create,OSM cliff: Hirschwände (way 115602397)
Rap the Rock,6+,5-7,sport,UIAA,Hirschwände,Sektor 3 - Gamshöhlen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 3 - Gamshöhlen | Rap the Rock,,to create,OSM cliff: Hirschwände (way 115602397)
Exit,5,5-7,sport,UIAA,Hirschwände,Sektor 3 - Gamshöhlen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 3 - Gamshöhlen | Exit,,to create,OSM cliff: Hirschwände (way 115602397)
Bat Bitch (Gamshöhlen),7,5-7,sport,UIAA,Hirschwände,Sektor 3 - Gamshöhlen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 3 - Gamshöhlen | Bat Bitch (Gamshöhlen),,to create,OSM cliff: Hirschwände (way 115602397)
I Was Net,7+,5-7,sport,UIAA,Hirschwände,Sektor 4 - Links Aussen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 4 - Links Aussen | I Was Net,,to create,OSM cliff: Hirschwände (way 115602397)
Nicht mein Problem,8,8-11,sport,UIAA,Hirschwände,Sektor 4 - Links Aussen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 4 - Links Aussen | Nicht mein Problem,,to create,OSM cliff: Hirschwände (way 115602397)
Curettage a vif,7+,5-7,sport,UIAA,Hirschwände,Sektor 4 - Links Aussen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 4 - Links Aussen | Curettage a vif,,to create,OSM cliff: Hirschwände (way 115602397)
Klassischer Riss,6,5-7,sport,UIAA,Hirschwände,Sektor 4 - Links Aussen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 4 - Links Aussen | Klassischer Riss,,to create,OSM cliff: Hirschwände (way 115602397)
Scharfe Sache,7-,5-7,sport,UIAA,Hirschwände,Sektor 4 - Links Aussen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 4 - Links Aussen | Scharfe Sache,,to create,OSM cliff: Hirschwände (way 115602397)
Sternschnupperer,9-,8-11,sport,UIAA,Hirschwände,Sektor 4 - Links Aussen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 4 - Links Aussen | Sternschnupperer,,to create,OSM cliff: Hirschwände (way 115602397)
Bröselmaier,5+,5-7,sport,UIAA,Hirschwände,Sektor 4 - Links Aussen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 4 - Links Aussen | Bröselmaier,,to create,OSM cliff: Hirschwände (way 115602397)
Sternschnupperer 1.SL,6+,5-7,sport,UIAA,Hirschwände,Sektor 4 - Links Aussen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 4 - Links Aussen | Sternschnupperer 1.SL,,to create,OSM cliff: Hirschwände (way 115602397)
Les Petits Riens,5+,5-7,sport,UIAA,Hirschwände,Sektor 4 - Links Aussen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 4 - Links Aussen | Les Petits Riens,,to create,OSM cliff: Hirschwände (way 115602397)
Sand in Sicht,5,5-7,sport,UIAA,Hirschwände,Sektor 4 - Links Aussen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 4 - Links Aussen | Sand in Sicht,,to create,OSM cliff: Hirschwände (way 115602397)
Vivant Sequentes,8,8-11,sport,UIAA,Hirschwände,Sektor 4 - Links Aussen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 4 - Links Aussen | Vivant Sequentes,,to create,OSM cliff: Hirschwände (way 115602397)
Henkelversprechung,8+,8-11,sport,UIAA,Hirschwände,Sektor 4 - Links Aussen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 4 - Links Aussen | Henkelversprechung,,to create,OSM cliff: Hirschwände (way 115602397)
Moria,7-,5-7,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Moria,,to create,OSM cliff: Hirschwände (way 115602397)
Gomphidius,7,5-7,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Gomphidius,,to create,OSM cliff: Hirschwände (way 115602397)
Bad Boy Boogie,7+,5-7,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Bad Boy Boogie,,to create,OSM cliff: Hirschwände (way 115602397)
Hell Ain't a Bad Place to Be,8+/9-,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Hell Ain't a Bad Place to Be,,to create,OSM cliff: Hirschwände (way 115602397)
Ccenturio,9+,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Ccenturio,,to create,OSM cliff: Hirschwände (way 115602397)
Legionär,9,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Legionär,,to create,OSM cliff: Hirschwände (way 115602397)
Semirough,6,5-7,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Semirough,,to create,OSM cliff: Hirschwände (way 115602397)
Sadistenbehelf,8+/9-,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Sadistenbehelf,,to create,OSM cliff: Hirschwände (way 115602397)
Sonnendiagonale,7,5-7,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Sonnendiagonale,,to create,OSM cliff: Hirschwände (way 115602397)
Barbietour,7+,5-7,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Barbietour,,to create,OSM cliff: Hirschwände (way 115602397)
Var (Kulisse a),6,5-7,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Var (Kulisse a),,to create,OSM cliff: Hirschwände (way 115602397)
Var (Kulisse b),6,5-7,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Var (Kulisse b),,to create,OSM cliff: Hirschwände (way 115602397)
Scherzpfeiferl,8,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Scherzpfeiferl,,to create,OSM cliff: Hirschwände (way 115602397)
Immer nur Lächeln,9,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Immer nur Lächeln,,to create,OSM cliff: Hirschwände (way 115602397)
Zwergenfalle,9+/10-,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Zwergenfalle,,to create,OSM cliff: Hirschwände (way 115602397)
Singt mir ein Lied,9/9+,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Singt mir ein Lied,,to create,OSM cliff: Hirschwände (way 115602397)
Mir is Wurscht,7-,5-7,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Mir is Wurscht,,to create,OSM cliff: Hirschwände (way 115602397)
Riesenkamin,5+,5-7,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Riesenkamin,,to create,OSM cliff: Hirschwände (way 115602397)
Jägermeisterkamin,3,1-4,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Jägermeisterkamin,,to create,OSM cliff: Hirschwände (way 115602397)
Grantig Kantig,8,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Grantig Kantig,,to create,OSM cliff: Hirschwände (way 115602397)
Originaltrick,8,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Originaltrick,,to create,OSM cliff: Hirschwände (way 115602397)
Joyfight,8,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Joyfight,,to create,OSM cliff: Hirschwände (way 115602397)
Joyride,7+,5-7,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Joyride,,to create,OSM cliff: Hirschwände (way 115602397)
Plattenspiele,7-,5-7,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Plattenspiele,,to create,OSM cliff: Hirschwände (way 115602397)
Zaubernuss,8+,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Zaubernuss,,to create,OSM cliff: Hirschwände (way 115602397)
Zaubernussini,9-/9,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Zaubernussini,,to create,OSM cliff: Hirschwände (way 115602397)
Strenger Aufriss,8,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Strenger Aufriss,,to create,OSM cliff: Hirschwände (way 115602397)
Faites vous jeux,8+,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Faites vous jeux,,to create,OSM cliff: Hirschwände (way 115602397)
Same Player Tries Again,7+/8-,5-7,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Same Player Tries Again,,to create,OSM cliff: Hirschwände (way 115602397)
Schnurzilein,8+/9-,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Schnurzilein,,to create,OSM cliff: Hirschwände (way 115602397)
Procaine,10/10+,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Procaine,,to create,OSM cliff: Hirschwände (way 115602397)
Cierne Dni,9+,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Cierne Dni,,to create,OSM cliff: Hirschwände (way 115602397)
Anarchoprak,9+/10-,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Anarchoprak,,to create,OSM cliff: Hirschwände (way 115602397)
Pulvis et Umbra,9,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Pulvis et Umbra,,to create,OSM cliff: Hirschwände (way 115602397)
Chaosgasse 92,9,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Chaosgasse 92,,to create,OSM cliff: Hirschwände (way 115602397)
Ode Profanum Vulgos et Arceo,10-,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Ode Profanum Vulgos et Arceo,,to create,OSM cliff: Hirschwände (way 115602397)
Denken kannst da schenkn,8+,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Denken kannst da schenkn,,to create,OSM cliff: Hirschwände (way 115602397)
Happy Birthday Dr.Kromer,7+,5-7,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Happy Birthday Dr.Kromer,,to create,OSM cliff: Hirschwände (way 115602397)
Originaleinstieg,8,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Originaleinstieg,,to create,OSM cliff: Hirschwände (way 115602397)
Holde Täuschung,7,5-7,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Holde Täuschung,,to create,OSM cliff: Hirschwände (way 115602397)
Liebstling,6+,5-7,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Liebstling,,to create,OSM cliff: Hirschwände (way 115602397)
Ut Aliquid Fieri Videatur,7-,5-7,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Ut Aliquid Fieri Videatur,,to create,OSM cliff: Hirschwände (way 115602397)
B-Boulder,8-,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | B-Boulder,,to create,OSM cliff: Hirschwände (way 115602397)
Mach dich leicht,9,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Mach dich leicht,,to create,OSM cliff: Hirschwände (way 115602397)
Amasake,9+,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Amasake,,to create,OSM cliff: Hirschwände (way 115602397)
No Way Back,8+,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | No Way Back,,to create,OSM cliff: Hirschwände (way 115602397)
Verlängerung (Kulisse),10-,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Verlängerung (Kulisse),,to create,OSM cliff: Hirschwände (way 115602397)
Schräges Gelände,8,8-11,sport,UIAA,Hirschwände,Sektor 5 - Kulisse,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 5 - Kulisse | Schräges Gelände,,to create,OSM cliff: Hirschwände (way 115602397)
"Erde, Dornen",,,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,"Hirschwände | Sektor 6 - Zentrum | Erde, Dornen",,to create,OSM cliff: Hirschwände (way 115602397)
Peinigl,8,8-11,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | Peinigl,,to create,OSM cliff: Hirschwände (way 115602397)
Gucki Wucki,8,8-11,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | Gucki Wucki,,to create,OSM cliff: Hirschwände (way 115602397)
Doppelt gerebelt,7,5-7,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | Doppelt gerebelt,,to create,OSM cliff: Hirschwände (way 115602397)
Gusch Krampen,6,5-7,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | Gusch Krampen,,to create,OSM cliff: Hirschwände (way 115602397)
Saxa Loquuntur,9,8-11,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | Saxa Loquuntur,,to create,OSM cliff: Hirschwände (way 115602397)
Primus Inter Pares,10,8-11,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | Primus Inter Pares,,to create,OSM cliff: Hirschwände (way 115602397)
Desiderio Desideravi,8+,8-11,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | Desiderio Desideravi,,to create,OSM cliff: Hirschwände (way 115602397)
Die alten Wilden,7+,5-7,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | Die alten Wilden,,to create,OSM cliff: Hirschwände (way 115602397)
De oide Pleschn,5,5-7,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | De oide Pleschn,,to create,OSM cliff: Hirschwände (way 115602397)
2.SL von 101,8,8-11,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | 2.SL von 101,,to create,OSM cliff: Hirschwände (way 115602397)
Ostarit,6,5-7,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | Ostarit,,to create,OSM cliff: Hirschwände (way 115602397)
Crno Macka,7,5-7,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | Crno Macka,,to create,OSM cliff: Hirschwände (way 115602397)
Bis zum bitteren Ende,6,5-7,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | Bis zum bitteren Ende,,to create,OSM cliff: Hirschwände (way 115602397)
Paradies,5-,5-7,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | Paradies,,to create,OSM cliff: Hirschwände (way 115602397)
Madelene,4+,1-4,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | Madelene,,to create,OSM cliff: Hirschwände (way 115602397)
Wunderbare Reise,8,8-11,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | Wunderbare Reise,,to create,OSM cliff: Hirschwände (way 115602397)
Zentralrisse,7+,5-7,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | Zentralrisse,,to create,OSM cliff: Hirschwände (way 115602397)
Gelber Pfeiler,6+,5-7,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | Gelber Pfeiler,,to create,OSM cliff: Hirschwände (way 115602397)
Pfeilerrisse,6,5-7,sport,UIAA,Hirschwände,Sektor 6 - Zentrum,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 6 - Zentrum | Pfeilerrisse,,to create,OSM cliff: Hirschwände (way 115602397)
May Gods Love Be With You,7+,5-7,sport,UIAA,Hirschwände,Sektor 7 - Rechtsaussen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 7 - Rechtsaussen | May Gods Love Be With You,,to create,OSM cliff: Hirschwände (way 115602397)
Ut Aliquod Fiat,7+,5-7,sport,UIAA,Hirschwände,Sektor 7 - Rechtsaussen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 7 - Rechtsaussen | Ut Aliquod Fiat,,to create,OSM cliff: Hirschwände (way 115602397)
Sunset Boulevard,7-,5-7,sport,UIAA,Hirschwände,Sektor 7 - Rechtsaussen,Österreich Ost,47.915312,15.939315,Hirschwände | Sektor 7 - Rechtsaussen | Sunset Boulevard,,to create,OSM cliff: Hirschwände (way 115602397)
